0,0,10,-4
0,0.25,9.75,-4
0,0.5,9.5,-4
0,0.75,9.25,-4
0,1,9,-4
0,1.25,8.75,-4
0,1.5,8.5,-4
0,1.75,8.25,-4
0,2,8,-4
0,2.25,7.75,-4
0,2.5,7.5,-4
0,2.75,7.25,-4
0,3,7,-4
0,3.25,6.75,-4
0,3.5,6.5,-4
0,3.75,6.25,-4
0,4,6,-4
0,4.25,5.75,-4
0,4.5,5.5,-4
0,4.75,5.25,-4
0,5,5,-4
0,5.25,4.75,-4
0,5.5,4.5,-4
0,5.75,4.25,-4
0,6,4,-4
0,6.25,3.75,-4
0,6.5,3.5,-4
0,6.75,3.25,-4
0,7,3,-4
0,7.25,2.75,-4
0,7.5,2.5,-4
0,7.75,2.25,-4
0,8,2,-4
0,8.25,1.75,-4
0,8.5,1.5,-4
0,8.75,1.25,-4
0,9,1,-4
0,9.25,0.75,-4
0,9.5,0.5,-4
0,9.75,0.25,-4
0,10,0,-4
0,10.25,-0.25,-4
0,10.5,-0.5,-4
0,10.75,-0.75,-4
0,11,-1,-4
0,11.25,-1.25,-4
0,11.5,-1.5,-4
0,11.75,-1.75,-4
0,12,-2,-4
0,12.25,-2.25,-4
0,12.5,-2.5,-4
0,12.75,-2.75,-4
0,13,-3,-4
0,13.25,-3.25,-4
0,13.5,-3.5,-4
0,13.75,-3.75,-4
0,14,-4,-4
0,14.25,-4.25,-4
0,14.5,-4.5,-4
0,14.75,-4.75,-4
0,15,-5,-4
0.25,0,9.86060614453128,-3.75
0.25,0.25,9.61060614453128,-3.75
0.25,0.5,9.36060614453128,-3.75
0.25,0.75,9.11060614453128,-3.75
0.25,1,8.86060614453128,-3.75
0.25,1.25,8.61060614453128,-3.75
0.25,1.5,8.36060614453128,-3.75
0.25,1.75,8.11060614453128,-3.75
0.25,2,7.86060614453128,-3.75
0.25,2.25,7.61060614453128,-3.75
0.25,2.5,7.36060614453128,-3.75
0.25,2.75,7.11060614453128,-3.75
0.25,3,6.86060614453128,-3.75
0.25,3.25,6.61060614453128,-3.75
0.25,3.5,6.36060614453128,-3.75
0.25,3.75,6.11060614453128,-3.75
0.25,4,5.86060614453128,-3.75
0.25,4.25,5.61060614453128,-3.75
0.25,4.5,5.36060614453128,-3.75
0.25,4.75,5.11060614453128,-3.75
0.25,5,4.86060614453128,-3.75
0.25,5.25,4.61060614453128,-3.75
0.25,5.5,4.36060614453128,-3.75
0.25,5.75,4.11060614453128,-3.75
0.25,6,3.86060614453128,-3.75
0.25,6.25,3.61060614453128,-3.75
0.25,6.5,3.36060614453128,-3.75
0.25,6.75,3.11060614453128,-3.75
0.25,7,2.86060614453128,-3.75
0.25,7.25,2.61060614453128,-3.75
0.25,7.5,2.36060614453128,-3.75
0.25,7.75,2.11060614453128,-3.75
0.25,8,1.86060614453128,-3.75
0.25,8.25,1.61060614453128,-3.75
0.25,8.5,1.36060614453128,-3.75
0.25,8.75,1.11060614453128,-3.75
0.25,9,0.860606144531278,-3.75
0.25,9.25,0.610606144531278,-3.75
0.25,9.5,0.360606144531278,-3.75
0.25,9.75,0.110606144531278,-3.75
0.25,10,-0.139393855468722,-3.75
0.25,10.25,-0.389393855468722,-3.75
0.25,10.5,-0.639393855468722,-3.75
0.25,10.75,-0.889393855468722,-3.75
0.25,11,-1.13939385546872,-3.75
0.25,11.25,-1.38939385546872,-3.75
0.25,11.5,-1.63939385546872,-3.75
0.25,11.75,-1.88939385546872,-3.75
0.25,12,-2.13939385546872,-3.75
0.25,12.25,-2.38939385546872,-3.75
0.25,12.5,-2.63939385546872,-3.75
0.25,12.75,-2.88939385546872,-3.75
0.25,13,-3.13939385546872,-3.75
0.25,13.25,-3.38939385546872,-3.75
0.25,13.5,-3.63939385546872,-3.75
0.25,13.75,-3.88939385546872,-3.75
0.25,14,-4.13939385546872,-3.75
0.25,14.25,-4.38939385546872,-3.75
0.25,14.5,-4.63939385546872,-3.75
0.25,14.75,-4.88939385546872,-3.75
0.25,15,-5.13939385546872,-3.75
0.5,0,9.45696910066659,-3.5
0.5,0.25,9.20696910066659,-3.5
0.5,0.5,8.95696910066659,-3.5
0.5,0.75,8.70696910066659,-3.5
0.5,1,8.45696910066659,-3.5
0.5,1.25,8.20696910066659,-3.5
0.5,1.5,7.95696910066659,-3.5
0.5,1.75,7.70696910066659,-3.5
0.5,2,7.45696910066659,-3.5
0.5,2.25,7.20696910066659,-3.5
0.5,2.5,6.95696910066659,-3.5
0.5,2.75,6.70696910066659,-3.5
0.5,3,6.45696910066659,-3.5
0.5,3.25,6.20696910066659,-3.5
0.5,3.5,5.95696910066659,-3.5
0.5,3.75,5.70696910066659,-3.5
0.5,4,5.45696910066659,-3.5
0.5,4.25,5.20696910066659,-3.5
0.5,4.5,4.95696910066659,-3.5
0.5,4.75,4.70696910066659,-3.5
0.5,5,4.45696910066659,-3.5
0.5,5.25,4.20696910066659,-3.5
0.5,5.5,3.95696910066659,-3.5
0.5,5.75,3.70696910066659,-3.5
0.5,6,3.45696910066659,-3.5
0.5,6.25,3.20696910066659,-3.5
0.5,6.5,2.95696910066659,-3.5
0.5,6.75,2.70696910066659,-3.5
0.5,7,2.45696910066659,-3.5
0.5,7.25,2.20696910066659,-3.5
0.5,7.5,1.95696910066659,-3.5
0.5,7.75,1.70696910066659,-3.5
0.5,8,1.45696910066659,-3.5
0.5,8.25,1.20696910066659,-3.5
0.5,8.5,0.956969100666594,-3.5
0.5,8.75,0.706969100666594,-3.5
0.5,9,0.456969100666594,-3.5
0.5,9.25,0.206969100666594,-3.5
